Date,Close/Last,Volume,Open,High,Low
11/17/2022,156.77,71089360,157.15,162.66,155.35
11/16/2022,159.1,64954680,161.615,163.62,158.73
11/15/2022,166.66,54587550,167.215,169.98,163.82
11/14/2022,162.95,52785250,162.18,165.4,159.22
11/11/2022,163.27,65548750,158.075,163.89,154.82
11/10/2022,157.5,70081930,148,157.73,145.47
11/09/2022,137.76,45441370,141.615,142.11,137.5901
11/08/2022,146.02,59529200,148.01,148.9101,142.16
11/07/2022,143.01,41006100,142.28,144.12,139.54
11/04/2022,141.56,61257590,139.86,142.29,136.97
11/03/2022,134.21,50006490,130.43,137.81,129.56
11/02/2022,132.19,67262780,138.5,142.1,132.1124
11/01/2022,135.43,43281690,138.11,139.25,135.19
10/31/2022,134.97,48634100,137.78,138.38,132.97
10/28/2022,138.34,52103990,131.04,138.5,130.61
10/27/2022,131.76,58311310,136.3,138.38,131.22
10/26/2022,128.96,53553330,128.69,133.88,127.08
10/25/2022,132.61,50548230,126.935,133,126.64
10/24/2022,125.99,51745740,125.08,127.1,120.64
10/21/2022,124.66,60949440,120.982,124.98,118.87
10/20/2022,121.94,65239760,121.13,127.69,121.05
10/19/2022,120.51,52313060,118.79,123.5,118.34
10/18/2022,119.67,65936210,123.44,124.92,116.18
